SOLICITATIONNUM,DOCUMENTNUM,DOCUMENTTYPE,DOCNAME,DOCSIZE,GUID,SOURCE,RECEIPTDATE,ACTIVE,REC_CREATED_DATE,REC_UPDATED_DATE,DCS_LOAD_DATE,OBJECTID
DCKA-2023-Q-0080,,Amendment 1,DCKA-2023-Q-0080_Amd1.pdf,278 KB,{00861F8B-0000-C712-AE67-A7529F9502A5},PASS,1696996800000,1,1696996800000,,1696996800000,83
DCKA-2024-B-0058,,Attachment 2,DCKA-2024-B-0058_Att2.pdf,231 KB,{6033728F-0000-CE15-A182-885D2B79D3A7},PASS,1715572800000,1,1715572800000,,1715572800000,84
DCKA-Q-2023-0063,,Amendment 3,DCKA-Q-2023-0063_Amd3.pdf,121 KB,{9053DB8C-0000-C41C-A959-09811769ED12},PASS,1704430800000,1,1704430800000,,1704430800000,85
DCKA-Q-2023-0063,,Amendment 2,DCKA-Q-2023-0063_Amd2.pdf,208 KB,{F052DB8C-0000-C810-95CD-06D4D34F180D},PASS,1704430800000,1,1704430800000,,1704430800000,86
DCKA-Q-2023-0063,,Amendment,DCKA-Q-2023-0063_Amd1.pdf,231 KB,{F051DB8C-0000-C215-A59B-97D17474091A},PASS,1704430800000,1,1704430800000,,1704430800000,87
DCRL-2024-F-0027,,Attachement 1,DCRL-2024-F-0027-Base Year-T001.pdf,1.1 MB,{70BEDB8C-0000-C018-B001-70088A626001},PASS,1704430800000,1,1704430800000,,1704430800000,88
DCKA-2024-B-0058,,Attachment 6,DCKA-2024-B-0058_Att6.ebsx,12 KB,{B032728F-0000-C717-BD45-803297B7FBFA},PASS,1715572800000,1,1715572800000,,1715572800000,89
DCKA-2024-B-0058,,Attachment 5,DCKA-2024-B-0058_Att5.pdf,105 KB,{3031728F-0000-C913-88CD-5F40F23634A2},PASS,1715572800000,1,1715572800000,,1715572800000,90
DCKA-2024-B-0058,,Attachment 4,DCKA-2024-B-0058_Att4.pdf,283 KB,{4030728F-0000-CA14-920A-985E5EE79192},PASS,1715572800000,1,1715572800000,,1715572800000,91
DCKA-2024-B-0058,,Attachment 3,DCKA-2024-B-0058_Att3.pdf,1.1 MB,{902F728F-0000-C51A-9113-D835BAC9165E},PASS,1715572800000,1,1715572800000,,1715572800000,92
DCKA-2024-B-0058,,Amendment 3,DCKA-2024-B-0058_Amd3.pdf,176 KB,{902E728F-0000-CD13-90CF-11660F4F1410},PASS,1715572800000,1,1715572800000,,1715572800000,93
DCKA-2024-B-0009,,Amendment 3,DCKA-2024-B-0009_Amd3.pdf,366 KB,{D02D728F-0000-CD19-9F24-7E84E0E81B7F},PASS,1715572800000,1,1715572800000,,1715572800000,94
DCKA-2024-B-0044,,Attachment 7,DCKA-2024-B-0044_Att7.pdf,13.9 MB,{4083E38F-0000-C313-86D8-A075F7FDE55F},PASS,1717473600000,1,1717473600000,,1717473600000,95
DCKA-2024-B-0044,,Attachment 6,DCKA-2024-B-0044_Att6.pdf,16.2 MB,{9082E38F-0000-C71A-87BA-3FC3CE6C900A},PASS,1717473600000,1,1717473600000,,1717473600000,96
DCKA-2024-B-0044,,Attachment 4,DCKA-2024-B-0044_Att4.pdf,24.7 MB,{E081E38F-0000-C713-8A76-2A2921785718},PASS,1717473600000,1,1717473600000,,1717473600000,97
DCKA-2024-B-0044,,Amendment 4,DCKA-2024-B-0044_Amd4.pdf,204 KB,{80A3E38F-0000-C91C-82F4-B131F56B62DB},PASS,1717473600000,1,1717473600000,,1717473600000,98
DCKA-2024-B-0044,,Attachment 1,DCKA-2024-B-0044_Att1.pdf,24.1 MB,{F0A2E38F-0000-CC13-88CB-40BE431C9A66},PASS,1717473600000,1,1717473600000,,1717473600000,99
DCKA-2024-B-0044,,Attachment 2,DCKA-2024-B-0044_Att2.pdf,4.3 MB,{20A2E38F-0000-CA17-B834-4D584C81E043},PASS,1717473600000,1,1717473600000,,1717473600000,100
DCKA-2024-B-0044,,Attachment 3,DCKA-2024-B-0044_Att3.pdf,4.5 MB,{A0A1E38F-0000-CA1A-B36B-2B16589F6EBC},PASS,1717473600000,1,1717473600000,,1717473600000,101
DCKA-2024-B-0044,,Attachment 5,DCKA-2024-B-0044_Att5.pdf,7.5 MB,{00A1E38F-0000-C516-BB7E-7BAB02357734},PASS,1717473600000,1,1717473600000,,1717473600000,102
DCKA-2024-B-0063,,Amendment 2,DCKA-2024-B-0063_Amd2.pdf,187 KB,{30A0E38F-0000-C617-9C3C-6E71FD802676},PASS,1717473600000,1,1717473600000,,1717473600000,103
DCKA-2019-B-0018,,Amendment 4,DCKA-2019-B-0018_Amd4.pdf,34 KB,{70683469-0000-C21A-9AB5-748F04F11A7C},PASS,1551243600000,1,1551243600000,,1551330000000,104
DCKA-2019-B-0002,,Amendment 2,DCKA-2019-B-0002_Amd2.pdf,102 KB,{50354A69-0000-C01F-B734-B5ED3425C846},PASS,1551675600000,1,1551675600000,,1551675600000,105
DCKA-2019-R-0094,,Amendment 1,DCKA-2019-R-0094_Amd1.PDF,632 KB,{0036FF6D-0000-CA16-B9F7-EA82973F03C7},PASS,1571889600000,1,1571889600000,,1571889600000,106
DCKA-2021-B-0022,,Amendment 3,DCKA-2021-B-0022_Amd3.pdf,190 KB,{50916A78-0000-C018-9F52-E980017D92FE},PASS,1616558400000,1,1616558400000,,1616558400000,107
DCKA-2020-B-0047,,Amendment 1,DCKA-2020-B-0047-Amd1.pdf,158 KB,{E0906A78-0000-C21C-A962-6164EB8BBC2B},PASS,1616472000000,1,1616472000000,,1616472000000,108
DCEB-2021-R-0002,,Amendment 1,DCEB-2021-R-0002_Amd1.pdf,192 KB,{70906A78-0000-C312-B1E0-B8C0065FB6AA},PASS,1616385600000,1,1616385600000,,1616385600000,109
DCKA-2021-B-0022,,Amendment 2,DCKA-2021-B-0022_Amd2.pdf,74 KB,{10906A78-0000-C71C-ADC4-7E8B38EC67F1},PASS,1615953600000,1,1615953600000,,1615953600000,110
DCKA-2021-B-0024,,Amendment 3,DCKA-2021-B-0024_Amd3.pdf,293 KB,{A08F6A78-0000-C21A-94A4-C8121C5CC4BD},PASS,1615867200000,1,1615867200000,,1615867200000,111
DCKA-2020-B-0058,,Amendment 2,DCKA-2020-B-0058_Amd2.pdf,270 KB,{208F6A78-0000-C011-8999-3DFEF3E486AF},PASS,1615780800000,1,1615780800000,,1615780800000,112
DCBD-2022-R-0001,,Amendment 1,DCBD-2022-R-0001_Amd1.pdf,139 KB,{8002DF7D-0000-CA1A-8812-EDE9A079F75B},PASS,1639976400000,1,1639976400000,,1639976400000,113
DCKA-2022-D-0007,,Amendment 3,DCKA-2022-D-0007_Amd3.pdf,227 KB,{F001DF7D-0000-C812-BDF1-6C67F982F95D},PASS,1639976400000,1,1639976400000,,1639976400000,114
DCKA-2021-R-0062,,Amendment 2,DCKA-2021-R-0062_Amd2.pdf,91 KB,{7001DF7D-0000-C615-AFB8-CEEA2D9F39D7},PASS,1639717200000,1,1639717200000,,1639717200000,115
DCEB-2022-I-0001,,Attachment 1,DCEB-2022-I-0001_Att1.pdf,803 KB,{E000DF7D-0000-C81A-BB00-A49BFF780AC4},PASS,1639458000000,1,1639458000000,,1639458000000,116
DCBD-2022-R-0002,,Amendment 1,DCBD-2022-R-0002_Amd1.pdf,202 KB,{60B3FD81-0000-CA1E-B8B6-828B30CE72CA},PASS,1657771200000,1,1657771200000,,1657771200000,117
DCKA-2023-B-0042,,Attachement 7,DCKA-2023-B-0042_Att7.pdf,935 KB,{E0EB2B89-0000-C81B-872B-A43EF544EAD8},PASS,1688616000000,1,1688616000000,,1688616000000,118
DCKA-2023-B-0042,,AMENDMENT 7,DCKA-2023-B-0042_Amd7.pdf,179 KB,{00EB2B89-0000-CE14-A0C5-8EC2D62C8969},PASS,1688616000000,1,1688616000000,,1688616000000,119
DCKA-2023-Q-0080,,Attachment 1,DCKA-2023-Q-0080_Att1.pdf,1.0 MB,{80F4CC8A-0000-C21D-B72A-D765405B82BF},PASS,1695614400000,1,1695614400000,,1695614400000,120
DCKA-2024-Q-0001,,Amendment 2,DCKA-2024-Q-0001_Amd2.pdf,268 KB,{1098F28B-0000-C71D-B6F7-F1746DF75DEA},PASS,1700542800000,1,1700542800000,,1700542800000,121
DCEB-2024-R-0002,,Attachment 3,DCEB-2024-R-0002_Att3.pdf,23 KB,{20C1258C-0000-C913-A48D-98A1FCB92EE4},PASS,1701406800000,1,1701406800000,,1701406800000,122
DCKA-2024-B-0010,,Attachment 1,DCKA-2024-B-0010_Att1.pdf,1.0 MB,{1097F28B-0000-CE1E-BC41-260F9EE2F876},PASS,1700542800000,1,1700542800000,,1700542800000,123
DCKA-Q-2023-0063,,Attachement 1,DCKA-Q-2023-0063_Att1.pdf,925 KB,{00E8268C-0000-C51D-ACBE-D12C0F749F78},PASS,1701406800000,1,1701406800000,,1701406800000,124
DCKA-2024-I-0018,,Attachment 1,DCKA-2024-I-0018_Att1.pdf,272 KB,{60C0368C-0000-CD11-A6AB-15CB7CD766B7},PASS,1701666000000,1,1701666000000,,1701666000000,125
DCKA-2023-B-0050,,Attachment 2,DCKA-2023-B-0050_Att2.pdf,86 KB,{20BF368C-0000-CC1C-805B-30A90343A9B7},PASS,1701666000000,1,1701666000000,,1701666000000,126
DCKA-2024-B-0058,,Attachment 1,DCKA-2024-B-0058_Att1.pdf,1.2 MB,{1063C38E-0000-CD1A-896F-A357348ACD40},PASS,1712635200000,1,1712635200000,,1712635200000,127
DCKA-2024-B-0044,,Amendment 1,DCKA-2024-B-0044_Amd1.pdf,167 KB,{C062EC8E-0000-C41C-BA6B-CD6EE90F373F},PASS,1713326400000,1,1713326400000,,1713326400000,128
DCEB-2025-R-0001,,Amendment 1,DCEB-2025-R-0001_Amd1.pdf,229 KB,{50D0F493-0000-CC10-BF0F-681176234B93},PASS,1734930000000,1,1734930000000,,1734930000000,129
DCEB-2025-R-0001,,Amendment 2,DCEB-2025-R-0001_Amd2.pdf,197 KB,{E0CFF493-0000-C915-B840-CB63DD96CD92},PASS,1734930000000,1,1734930000000,,1734930000000,130
DCKA-2024-B-0045,,Amendment 1,DCKA-2024-B-0045_Amd1.doc,103 KB,{60DEBC94-0000-C812-B496-63822AB83937},PASS,1738299600000,1,1738299600000,,1738299600000,131
DCKA-2025-Q-0015,,Amendment 2,DCKA-2024-B-0045_Amd2.pdf,66 KB,{F0DDBC94-0000-C313-882F-DF72A0483BB1},PASS,1738299600000,1,1738299600000,,1738299600000,132
DCKA-2025-Q-0015,,Amendment 1,DCKA-2025-Q-0015_Amd1.pdf,179 KB,{70DDBC94-0000-C217-B524-CD0B1634EBCB},PASS,1738299600000,1,1738299600000,,1738299600000,133
